ID	Origin	destination	SP_time
1	166	745	44
2	885	207	92
3	930	595	116
4	209	508	71
5	352	280	49
6	9	842	36
7	764	514	71
8	877	60	66
9	577	508	17
10	417	263	33
11	248	438	48
12	495	366	63
13	306	510	13
14	72	816	47
15	734	632	27
16	361	633	47
17	306	163	90
18	734	163	31
19	557	441	20
20	395	328	58
21	623	245	50
22	410	553	30
23	577	740	73
24	107	26	15
25	666	292	25
26	671	793	44
27	928	169	90
28	834	760	59
29	150	564	39
30	522	721	66
31	53	354	86
32	909	262	94
33	227	136	29
34	791	532	65
35	216	834	69
36	854	774	76
37	118	842	14
38	862	103	42
39	664	234	112
40	392	856	66
41	654	607	55
42	852	374	105
43	307	509	13
44	486	843	35
45	110	260	68
46	401	609	7
47	442	137	73
48	118	48	59
49	407	23	30
50	619	884	85
51	543	376	88
52	644	405	31
53	643	132	39
54	94	792	64
55	309	883	22
56	642	720	54
57	652	334	61
58	256	47	44
59	795	789	11
60	129	666	52
61	90	794	67
62	724	543	68
63	188	412	5
64	790	335	86
65	301	102	22
66	247	611	50
67	448	113	14
68	113	460	44
69	202	765	16
70	195	209	16
71	486	464	68
72	534	501	34
73	464	81	71
74	276	493	39
75	443	88	53
76	860	471	46
77	733	607	33
78	590	775	7
79	184	666	57
80	610	588	12
81	203	238	19
82	618	641	33
83	589	638	43
84	155	712	38
85	767	94	48
86	32	381	72
87	692	273	32
88	791	632	61
89	640	929	84
90	630	852	43
91	134	713	28
92	899	172	87
93	235	427	54
94	635	658	26
95	370	398	58
96	92	169	53
97	95	496	26
98	778	50	11
99	562	455	43
100	179	802	29
101	183	405	23
102	906	509	23
103	112	497	26
104	170	872	43
105	492	751	48
106	52	13	21
107	440	306	62
108	556	475	27
109	278	140	27
110	369	491	88
111	585	611	11
112	683	393	20
113	723	782	40
114	780	147	77
115	832	132	39
116	471	91	24
117	98	206	62
118	883	139	59
119	270	17	41
120	907	395	76
121	204	762	13
122	161	336	64
123	223	83	39
124	176	264	25
125	872	394	46
126	16	343	76
127	841	72	44
128	241	2	60
129	104	20	27
130	81	159	16
131	466	390	87
132	345	546	64
133	362	360	9
134	916	26	90
135	852	716	79
136	820	793	68
137	566	886	50
138	207	801	46
139	106	853	22
140	389	212	45
141	901	896	29
142	320	799	47
143	311	908	35
144	130	696	20
145	240	441	51
146	806	730	26
147	247	362	119
148	522	679	42
149	550	444	64
150	649	854	31
151	380	73	68
152	155	13	27
153	450	301	21
154	871	822	24
155	76	124	51
156	275	225	46
157	125	432	31
158	797	369	35
159	237	225	32
160	89	299	39
161	53	213	34
162	52	894	75
163	10	921	54
164	73	874	73
165	875	576	52
166	282	287	8
167	926	604	50
168	681	324	58
169	389	86	76
170	237	926	64
171	123	252	81
172	137	761	32
173	815	559	29
174	70	307	57
175	56	638	38
176	917	815	79
177	156	285	25
178	498	888	49
179	915	849	119
180	128	365	87
181	168	553	49
182	528	822	35
183	61	375	46
184	608	170	21
185	521	248	94
186	269	191	24
187	65	384	122
188	717	246	29
189	868	266	15
190	631	400	28
191	449	790	79
192	423	698	55
193	504	359	37
194	207	2	35
195	353	141	71
196	503	497	18
197	527	341	38
198	152	658	46
199	545	196	73
200	73	637	24
201	374	201	17
202	451	198	77
203	695	794	52
204	305	589	62
205	730	109	48
206	759	536	30
207	701	336	62
208	910	522	30
209	424	109	56
210	399	717	18
211	620	545	31
212	575	462	69
213	27	300	47
214	453	525	13
215	207	513	73
216	405	670	52
217	271	294	21
218	891	932	70
219	387	583	62
220	4	735	46
221	32	872	47
222	404	623	10
223	221	826	58
224	420	491	47
225	323	837	25
226	892	741	102
227	482	572	21
228	741	459	79
229	845	230	68
230	240	929	156
231	451	169	69
232	741	469	69
233	102	792	73
234	838	845	18
235	757	262	10
236	692	100	28
237	271	144	21
238	268	489	30
239	430	2	17
240	163	623	41
241	743	163	45
242	474	372	68
243	766	213	15
244	269	227	51
245	912	156	70
246	170	47	34
247	866	746	56
248	210	573	52
249	501	74	27
250	867	371	72
251	147	227	36
252	724	81	28
253	168	890	83
254	438	158	21
255	42	680	15
256	246	756	24
257	608	475	31
258	609	346	74
259	162	136	42
260	13	932	51
261	687	181	21
262	776	245	29
263	842	301	12
264	705	493	22
265	181	99	55
266	832	843	26
267	912	800	106
268	854	701	46
269	508	571	18
270	831	249	70
271	93	707	14
272	694	353	68
273	605	495	25
274	560	879	84
275	164	693	37
276	588	628	32
277	298	652	20
278	454	372	88
279	22	551	10
280	217	47	23
281	192	259	26
282	669	708	85
283	229	898	91
284	111	144	43
285	868	330	26
286	256	85	60
287	461	504	47
288	89	101	20
289	578	758	61
290	728	621	43
291	695	367	33
292	337	844	48
293	234	259	34
294	525	150	43
295	627	351	62
296	703	358	49
297	171	647	62
298	264	141	24
299	933	10	51
300	16	708	57
301	599	433	4
302	19	282	37
303	573	565	8
304	168	382	96
305	425	593	7
306	925	601	40
307	394	630	34
308	532	612	27
309	121	892	37
310	24	393	46
311	151	158	15
312	468	889	27
313	423	442	100
314	132	498	33
315	319	229	61
316	427	739	30
317	135	50	19
318	773	824	58
319	713	426	30
320	207	808	26
321	927	153	58
322	348	826	51
323	738	571	64
324	455	873	31
325	586	642	45
326	544	789	98
327	651	388	71
328	440	636	25
329	104	780	102
330	750	850	87
331	260	526	67
332	858	713	77
333	296	499	32
334	933	442	66
335	293	384	86
336	13	531	14
337	117	716	64
338	363	153	66
339	17	627	19
340	385	524	56
341	104	929	76
342	443	335	34
343	368	649	91
344	217	582	62
345	176	573	48
346	449	164	66
347	491	699	24
348	883	205	111
349	511	377	97
350	29	548	22
351	402	395	17
352	688	306	59
353	679	137	20
354	503	83	8
355	213	377	36
356	188	17	44
357	555	171	35
358	154	481	15
359	778	682	29
360	380	573	66
361	286	462	22
362	62	258	26
363	870	340	55
364	711	115	76
365	694	619	23
366	677	86	24
367	313	744	92
368	388	596	41
369	226	27	50
370	187	771	48
371	679	520	53
372	129	894	76
373	147	168	46
374	701	284	24
375	643	505	9
376	80	458	46
377	67	707	34
378	364	921	109
379	163	523	66
380	403	687	13
381	715	826	50
382	719	442	90
383	298	325	35
384	754	813	53
385	263	897	55
386	685	356	53
387	599	928	112
388	669	739	88
389	161	10	29
390	700	314	55
391	381	835	39
392	269	213	54
393	549	168	53
394	916	571	86
395	186	687	34
396	174	540	45
397	813	748	54
398	905	302	24
399	358	929	91
400	830	98	37
401	691	452	36
402	26	543	26
403	139	247	56
404	573	727	50
405	14	789	57
406	323	272	7
407	750	596	30
408	82	503	10
409	45	129	18
410	764	624	30
411	442	477	56
412	161	334	53
413	873	246	83
414	430	493	27
415	225	82	38
416	930	512	70
417	777	4	23
418	281	47	52
419	201	82	53
420	710	524	58
421	650	573	22
422	228	513	68
423	891	257	98
424	265	91	30
425	496	170	33
426	387	480	54
427	412	23	37
428	626	549	14
429	625	674	28
430	548	631	15
431	329	542	59
432	335	168	69
433	303	8	47
434	135	540	11
435	178	136	19
436	577	674	46
437	311	383	60
438	180	438	45
439	688	223	30
440	795	434	49
441	583	877	72
442	217	12	43
443	284	559	47
444	278	201	67
445	765	162	37
446	482	665	38
447	767	532	41
448	10	800	42
449	206	739	11
450	613	605	13
451	356	926	82
452	113	197	81
453	282	174	54
454	477	402	36
455	462	682	62
456	858	826	27
457	512	505	24
458	822	218	60
459	253	512	82
460	546	266	50
461	382	683	81
462	264	617	49
463	58	542	57
464	800	261	13
