iteration,local_LB,local_UB,LB,UB,gap
1,33.0,206,33.0,206,0.84
2,-78.0,48,33.0,48,0.312
3,-16.0,60,33.0,48,0.312
4,-1.5,70,33.0,48,0.312
5,6.833,51,33.0,48,0.312
6,19.117,85,33.0,48,0.312
7,27.05,90,33.0,48,0.312
8,26.19,57,33.0,48,0.312
9,34.186,50,34.186,48,0.288
10,33.869,68,34.186,48,0.288
11,30.871,54,34.186,48,0.288
12,38.796,64,38.796,48,0.192
13,40.049,51,40.049,48,0.166
14,39.34,108,40.049,48,0.166
15,38.222,50,40.049,48,0.166
16,40.39,52,40.39,48,0.159
17,41.077,51,41.077,48,0.144
18,42.563,56,42.563,48,0.113
19,42.442,48,42.563,48,0.113
20,42.687,57,42.687,48,0.111
21,43.687,56,43.687,48,0.09
22,44.298,56,44.298,48,0.077
23,43.436,48,44.298,48,0.077
24,44.622,61,44.622,48,0.07
25,44.333,51,44.622,48,0.07
26,45.087,54,45.087,48,0.061
27,45.313,50,45.313,48,0.056
28,45.459,56,45.459,48,0.053
29,45.721,51,45.721,48,0.047
30,45.317,50,45.721,48,0.047
31,45.743,48,45.743,48,0.047
32,45.393,51,45.743,48,0.047
33,45.717,50,45.743,48,0.047
34,46.034,54,46.034,48,0.041
35,46.111,50,46.111,48,0.039
36,46.195,51,46.195,48,0.038
37,46.105,50,46.195,48,0.038
38,46.245,48,46.245,48,0.037
39,46.225,51,46.245,48,0.037
40,46.211,51,46.245,48,0.037
41,46.266,50,46.266,48,0.036
42,46.56,48,46.56,48,0.03
43,46.419,50,46.56,48,0.03
44,46.595,56,46.595,48,0.029
45,46.638,54,46.638,48,0.028
46,46.679,50,46.679,48,0.028
47,46.765,51,46.765,48,0.026
48,46.656,50,46.765,48,0.026
49,46.816,51,46.816,48,0.025
50,46.745,50,46.816,48,0.025
CPU time: 21621.185233593
