linkId	fromNode	toNode	Time	Electricity
1	1	2	6	1	
2	1	3	4	3	
3	2	1	6	1	
4	2	6	5	3	
5	3	1	4	2	
6	3	4	4	3	
7	3	12	4	2	
8	4	3	4	3	
9	4	5	2	1	
10	4	11	6	3	
11	5	4	2	1	
12	5	6	4	1	
13	5	9	5	2	
14	6	2	5	1	
15	6	5	4	1	
16	6	8	2	1	
17	7	8	3	2	
18	7	18	2	2	
19	8	6	2	1	
20	8	7	3	3	
21	8	9	10	1	
22	8	16	5	2	
23	9	5	5	3	
24	9	8	10	3	
25	9	10	3	2	
26	10	9	3	3	
27	10	11	5	1	
28	10	15	6	3	
29	10	16	4	1	
30	10	17	8	2	
31	11	4	6	1	
32	11	10	5	3	
33	11	12	6	1	
34	11	14	4	2	
35	12	3	4	3	
36	12	11	6	3	
37	12	13	3	1	
38	13	12	3	3	
39	13	24	4	2	
40	14	11	4	2	
41	14	15	5	3	
42	14	23	4	2	
43	15	10	6	1	
44	15	14	5	3	
45	15	19	3	1	
46	15	22	3	2	
47	16	8	5	1	
48	16	10	4	2	
49	16	17	2	2	
50	16	18	3	2	
51	17	10	8	2	
52	17	16	2	1	
53	17	19	2	2	
54	18	7	2	2	
55	18	16	3	1	
56	18	20	4	2	
57	19	15	3	1	
58	19	17	2	2	
59	19	20	4	1	
60	20	18	4	2	
61	20	19	4	3	
62	20	21	6	1	
63	20	22	5	2	
64	21	20	6	1	
65	21	22	2	1	
66	21	24	3	1	
67	22	15	3	3	
68	22	20	5	2	
69	22	21	2	2	
70	22	23	4	2
71	23	14	4	1	
72	23	22	4	3
73	23	24	2	1	
74	24	13	4	2	
75	24	21	3	1	
76	24	23	2	2	
