iteration,local_LB,local_UB,LB,UB,gap
1,43.0,170,43.0,170,0.747
2,24.0,63,43.0,63,0.317
3,33.5,91,43.0,63,0.317
4,35.167,63,43.0,63,0.317
5,43.75,76,43.75,63,0.306
6,50.033,66,50.033,63,0.206
7,52.483,63,52.483,63,0.167
8,57.464,73,57.464,63,0.088
9,56.968,66,57.464,63,0.088
10,55.569,63,57.464,63,0.088
11,59.958,63,59.958,63,0.048
12,59.09,66,59.958,63,0.048
13,59.983,70,59.983,63,0.048
14,60.147,66,60.147,63,0.045
15,59.459,63,60.147,63,0.045
16,60.952,63,60.952,63,0.033
17,60.037,63,60.952,63,0.033
18,61.524,63,61.524,63,0.023
19,61.818,63,61.818,63,0.019
20,61.872,66,61.872,63,0.018
21,61.114,63,61.872,63,0.018
22,62.083,63,62.083,63,0.015
23,60.693,63,62.083,63,0.015
24,62.381,63,62.381,63,0.01
25,62.111,63,62.381,63,0.01
26,61.479,70,62.381,63,0.01
27,61.973,63,62.381,63,0.01
28,61.7,63,62.381,63,0.01
29,62.408,63,62.408,63,0.009
30,62.338,63,62.408,63,0.009
31,62.256,63,62.408,63,0.009
32,62.144,63,62.408,63,0.009
33,62.762,63,62.762,63,0.004
CPU time: 175.56993889808655
