iteration,local_LB,local_UB,LB,UB,gap
1,25.0,218,25.0,218,0.885
2,10.556,97,25.0,97,0.742
3,18.963,153,25.0,97,0.742
4,22.14,97,25.0,97,0.742
5,29.912,132,29.912,97,0.692
6,35.663,97,35.663,97,0.632
7,40.303,141,40.303,97,0.585
8,44.065,112,44.065,97,0.546
9,46.265,118,46.265,97,0.523
10,50.622,141,50.622,97,0.478
11,51.569,97,51.569,97,0.468
12,53.548,142,53.548,97,0.448
13,56.202,97,56.202,97,0.421
14,56.744,141,56.744,97,0.415
15,58.514,112,58.514,97,0.397
16,60.324,118,60.324,97,0.378
17,61.231,126,61.231,97,0.369
18,62.501,138,62.501,97,0.356
19,63.108,115,63.108,97,0.349
20,64.155,121,64.155,97,0.339
21,64.807,126,64.807,97,0.332
22,66.141,113,66.141,97,0.318
23,66.192,115,66.192,97,0.318
24,67.752,161,67.752,97,0.302
25,68.604,97,68.604,97,0.293
26,68.996,154,68.996,97,0.289
27,69.428,115,69.428,97,0.284
28,70.342,121,70.342,97,0.275
29,70.26,116,70.342,97,0.275
30,71.556,159,71.556,97,0.262
31,71.969,115,71.969,97,0.258
32,71.784,121,71.969,97,0.258
33,72.167,116,72.167,97,0.256
34,73.606,138,73.606,97,0.241
35,73.304,97,73.606,97,0.241
36,73.635,138,73.635,97,0.241
37,74.174,126,74.174,97,0.235
38,75.307,121,75.307,97,0.224
39,74.76,116,75.307,97,0.224
40,75.869,153,75.869,97,0.218
41,75.498,97,75.869,97,0.218
42,75.832,142,75.869,97,0.218
43,76.256,116,76.256,97,0.214
44,77.046,102,77.046,97,0.206
45,76.709,115,77.046,97,0.206
46,77.383,161,77.383,97,0.202
47,77.463,97,77.463,97,0.201
48,77.696,154,77.696,97,0.199
49,77.763,112,77.763,97,0.198
50,78.482,114,78.482,97,0.191
51,78.077,116,78.482,97,0.191
52,79.331,159,79.331,97,0.182
53,78.632,97,79.331,97,0.182
54,79.228,138,79.331,97,0.182
55,79.152,115,79.331,97,0.182
56,79.898,102,79.898,97,0.176
57,79.054,112,79.898,97,0.176
58,80.348,113,80.348,97,0.172
59,79.519,130,80.348,97,0.172
60,80.9,115,80.9,97,0.166
61,80.813,102,80.9,97,0.166
62,79.584,112,80.9,97,0.166
63,81.0,113,81.0,97,0.165
64,80.263,115,81.0,97,0.165
65,81.693,102,81.693,97,0.158
66,80.423,116,81.693,97,0.158
67,81.626,121,81.693,97,0.158
68,81.086,130,81.693,97,0.158
69,82.28,154,82.28,97,0.152
70,81.254,97,82.28,97,0.152
71,82.101,132,82.28,97,0.152
72,81.665,97,82.28,97,0.152
73,82.195,154,82.28,97,0.152
74,82.095,97,82.28,97,0.152
75,82.424,132,82.424,97,0.15
76,82.314,130,82.424,97,0.15
77,82.741,102,82.741,97,0.147
78,82.238,116,82.741,97,0.147
79,82.892,102,82.892,97,0.145
80,82.643,115,82.892,97,0.145
81,82.979,121,82.979,97,0.145
82,82.784,130,82.979,97,0.145
83,83.418,113,83.418,97,0.14
84,82.918,126,83.418,97,0.14
85,83.702,97,83.702,97,0.137
86,83.564,132,83.702,97,0.137
87,83.534,97,83.702,97,0.137
88,83.715,154,83.715,97,0.137
89,83.687,97,83.715,97,0.137
90,84.006,153,84.006,97,0.134
91,84.122,97,84.122,97,0.133
92,84.028,138,84.122,97,0.133
93,83.853,97,84.122,97,0.133
94,84.309,154,84.309,97,0.131
95,84.231,97,84.309,97,0.131
96,84.596,138,84.596,97,0.128
97,84.52,97,84.596,97,0.128
98,84.543,138,84.596,97,0.128
99,84.493,130,84.596,97,0.128
100,84.756,102,84.756,97,0.126
CPU time: 717.4128942489624
