ID	Origin	destination	SP_time
1	1	2	6
2	1	3	4
3	1	4	8
4	1	5	10
5	1	6	11
6	1	7	16
7	1	8	13
8	1	9	15
9	1	10	18
10	1	11	14
11	1	12	8
12	1	13	11
13	1	14	18
14	1	15	23
15	1	16	18
16	1	17	20
17	1	18	18
18	1	19	22
19	1	20	22
20	1	21	18
21	1	22	20
22	1	23	17
23	1	24	15
24	2	1	6
25	2	3	10
26	2	4	11
27	2	5	9
28	2	6	5
29	2	7	10
30	2	8	7
31	2	9	14
32	2	10	16
33	2	11	17
34	2	12	14
35	2	13	17
36	2	14	21
37	2	15	19
38	2	16	12
39	2	17	14
40	2	18	12
41	2	19	16
42	2	20	16
43	2	21	22
44	2	22	21
45	2	23	23
46	2	24	21
47	3	1	4
48	3	2	10
49	3	4	4
50	3	5	6
51	3	6	10
52	3	7	15
53	3	8	12
54	3	9	11
55	3	10	14
56	3	11	10
57	3	12	4
58	3	13	7
59	3	14	14
60	3	15	19
61	3	16	17
62	3	17	19
63	3	18	17
64	3	19	21
65	3	20	20
66	3	21	14
67	3	22	16
68	3	23	13
69	3	24	11
70	4	1	8
71	4	2	11
72	4	3	4
73	4	5	2
74	4	6	6
75	4	7	11
76	4	8	8
77	4	9	7
78	4	10	10
79	4	11	6
80	4	12	8
81	4	13	11
82	4	14	10
83	4	15	15
84	4	16	13
85	4	17	15
86	4	18	13
87	4	19	17
88	4	20	17
89	4	21	18
90	4	22	18
91	4	23	14
92	4	24	15
93	5	1	10
94	5	2	9
95	5	3	6
96	5	4	2
97	5	6	4
98	5	7	9
99	5	8	6
100	5	9	5
101	5	10	8
102	5	11	8
103	5	12	10
104	5	13	13
105	5	14	12
106	5	15	14
107	5	16	11
108	5	17	13
109	5	18	11
110	5	19	15
111	5	20	15
112	5	21	19
113	5	22	17
114	5	23	16
115	5	24	17
116	6	1	11
117	6	2	5
118	6	3	10
119	6	4	6
120	6	5	4
121	6	7	5
122	6	8	2
123	6	9	9
124	6	10	11
125	6	11	12
126	6	12	14
127	6	13	17
128	6	14	16
129	6	15	14
130	6	16	7
131	6	17	9
132	6	18	7
133	6	19	11
134	6	20	11
135	6	21	17
136	6	22	16
137	6	23	20
138	6	24	20
139	7	1	16
140	7	2	10
141	7	3	15
142	7	4	11
143	7	5	9
144	7	6	5
145	7	8	3
146	7	9	12
147	7	10	9
148	7	11	14
149	7	12	19
150	7	13	19
151	7	14	17
152	7	15	12
153	7	16	5
154	7	17	7
155	7	18	2
156	7	19	9
157	7	20	6
158	7	21	12
159	7	22	11
160	7	23	15
161	7	24	15
162	8	1	13
163	8	2	7
164	8	3	12
165	8	4	8
166	8	5	6
167	8	6	2
168	8	7	3
169	8	9	10
170	8	10	9
171	8	11	14
172	8	12	16
173	8	13	19
174	8	14	17
175	8	15	12
