iteration,local_LB,local_UB,LB,UB,gap
1,1.0,4,1.0,4,0.75
2,1.0,2,1.0,2,0.5
3,1.5,2,1.5,2,0.25
4,1.0,2,1.5,2,0.25
5,1.75,2,1.75,2,0.125
6,1.483,2,1.75,2,0.125
7,1.85,2,1.85,2,0.075
8,1.721,2,1.85,2,0.075
9,1.779,2,1.85,2,0.075
10,1.763,2,1.85,2,0.075
11,1.923,2,1.923,2,0.038
12,1.713,2,1.923,2,0.038
13,1.953,2,1.953,2,0.023
14,1.739,2,1.953,2,0.023
15,1.975,2,1.975,2,0.012
16,1.758,2,1.975,2,0.012
17,1.989,2,1.989,2,0.005
18,1.832,2,1.989,2,0.005
19,1.946,2,1.989,2,0.005
20,1.843,2,1.989,2,0.005
CPU time: 0.10072898864746094
