iteration,0_0,0_1,1_0,1_1,2_0,2_1,3_0,3_1
1,0,1,0,0,0,0,0,0
2,1,0.50,0,0,1,1,0,0
3,0.50,0.83,0,0,0.50,0.50,0,0
4,0.83,0.58,0,0,0.83,0.83,0,0
5,0.58,0.38,0,0,0.83,0.83,0,0
6,0.38,0.55,0,0,0.83,0.83,0,0
7,0.55,0.41,0,0,1,1,0,0
8,0.41,0.53,0,0,1,1,0,0
9,0.53,0.42,0,0,1.13,1.13,0,0
10,0.42,0.52,0,0,1.01,1.01,0,0
11,0.52,0.43,0,0,1.01,1.01,0,0
12,0.43,0.51,0,0,0.92,0.92,0,0
13,0.51,0.44,0,0,1.01,1.01,0,0
14,0.44,0.51,0,0,0.93,0.93,0,0
15,0.51,0.44,0,0,1.00,1.00,0,0
16,0.44,0.50,0,0,0.93,0.93,0,0
17,0.50,0.44,0,0,1.00,1.00,0,0
18,0.44,0.50,0,0,1.00,1.00,0,0
19,0.50,0.45,0,0,1.05,1.05,0,0
20,0.45,0.50,0,0,1.00,1.00,0,0
